@relation 1_1

@attribute Text_data String
@attribute Classification {?,Cons,Pros}

@data
'Inexpensive; quiet printing; good quality printing',Pros
'simple to use',Pros
'Inexpensive, durable, easy to use, quality resolution',Pros
'good menu interface, durable, no static,&#13;&#10;can fit in pocket',Pros
'Very good camera with versatile lens attachments, built in flash system.',Pros
'Complicated menu',Cons
'durable, robust, feature rich, gold standard.',Pros
'Short battery life (if you don\'t have the dock)',Cons
'Number pad takes some getting used to, would be nice to have a standard ringtone.',Cons
'Truly compact, 3.2 MP, Excellent video capture, Solid construction',Pros
'Constant disc errors-lost photos, large clumsy camera, poorly positioned buttons, bad for active photographers',Cons
'No TV hookups! No Rechargeable Batteries included!',Cons
'no optical zoom',Cons
'Sometimes weak reception, sound quality is decent but not fantastic',Cons
'Poor reception due to internal antenna',Cons
'Cannot personalize ringtones or wallpaper. No camera, internet, or stylish design.',Cons
'Easy, point and shoot. Great software for transferring from camera to PC via USB.',Pros
Everything,Cons
'too long to load pictures, too long to print',Cons
'Durable, changeable faceplates',Pros
'Everything you need rolled up into one device',Pros
'LIGHT STURDY SLEEK IN STYLE',Pros
'No Case. Lens is vulnerable to damage.',Cons
'Sleek look. Clear, great uptime, no flaws as of yet',Pros
'Small paper tray, expensive ink cartridges, always a new &amp;amp; better model on the market',Cons
'Great color and resolution, good resolution on avi video.',Pros
'Solid casing. Sharp, clear images. Easy to use. Good documentation. No expensive proprietary components.',Pros
'Easy to use, great picture quality',Pros
'Really bad scanner and awkward software',Cons
'Durability, sound quality, speaker phone quality.',Pros
'No zoom, rough on batteries.',Cons
'Battery gets hot on long calls.',Cons
'WEAK VIBRATE! I can never feel the vibrate on this phone!',Cons
'Easy&amp;#13;&amp;#10;Decent quality',Pros
'A low end model, not for heavy graphics or photographs',Cons
'Great speed, quality, PRICE, and durability. HP has thought of every aspect of photo printing and put it into this printer that can even stand alone w/o a PC attachment!',Pros
'-video is useless',Cons
'neat technology',Pros
'Extended use of LCD screen dramatically decreases battery life',Cons
'Stylish, inexpensive, polyphonic ring tones, color screen, good reception,light and small, good features',Pros
'Print heads frequently fail and are not covered under warranty.',Cons
none,Pros
'Easy to use, cheap, doesn\'t gobble ink, cartridges are easy to load, quality pictures',Pros
'Easy, great price, great features',Pros
'VCast mostly a gimmick, calendar sync to Outlook is messy.',Cons
'good price, good quality, good color',Pros
'lightweight, does not take up a lot of room, inexpensive',Pros
'not enough features',Cons
'Web Browsing, easy texting and emailing.',Pros
'It looks cool?',Pros
'Lightweight, can use in 120 countries, voice activated.',Pros
Expensive,Cons
'CompactFlash, USB, has flash, great outdoor image quality, good for web or beginner',Pros
'This phone can fit anywhere, it has world coverage, and is simple to use.',Pros
Inexpensive,Pros
'Making quality photos uses excessive ink.',Cons
'Flashy design, lots of options. Excellent reception.',Pros
'poor photo print quality',Cons
'Size, Connection reliability with XP, Ink Usage and Cost',Cons
'A little large.',Cons
'Great features',Pros
'No optical zoom; poor LCD; battery &amp;quot;hog&amp;quot;; barely 1 Megapixel; flash is insufficient indoors',Cons
'Small, sleek',Pros
'Maybe a little TOO small for some, small screen',Cons
'Will not work with Windows XP',Cons
'It has been discontinued and they are hard to come by.',Cons
'Great Name',Pros
'Nice Photos',Pros
'reception, sound quality, ringer',Cons
'Connection to computer, stability, flash',Cons
'Battery length',Cons
'low resolution produces fuzziness on larger photos',Cons
'Poor USB support, high ink cost, poor build quality',Cons
'Excellent feature set, easy to use.',Pros
'The LCD viewscreen is  a drain on batteries',Cons
'Flip phone, scratches less, nice visual',Pros
'No flat bed capability',Cons
'Just about everything. Function, reception, call consistency, battery life',Cons
'Everything else. Do not buy this phone!',Cons
'comfortable and light weight',Pros
'Good resolution and print quality',Pros
'Compact; great photos.',Pros
'Light weight, beautiful design, excellent build quality, simple to use',Pros
'2x zoom insufficient at times',Cons
'None yet...',Cons
'I\'ll let you know if I find one!!',Cons
'Incredibly thin, great display, intuitive menu systems',Pros
'Good battery and nice display',Pros
'quality pictures for the price',Pros
'Small \'phone\' buttons, inside softkeys awkward',Cons
'battery life, no address book synching',Cons
'Small Size',Pros
'MEDIOCRE TALK-TIME; VIDEO-RECORDING LENGTH; FLUCTUATING VOLUME; OPERATIONAL GLITCHES',Cons
'100\% Photo Quality output. Text is also very impressive.',Pros
'Photo Quality Prints, Duplex Printing, Clear Text Printing',Pros
'LCD screen scratches very easily, 0.8 megapixels',Cons
'Inexpensive ink, refill cartridges readily available.',Pros
'easy to use, lots of features, pocket sized, quality pictures.',Pros
'Fast printing, great quality',Pros
'Great pictures, great optical zoom range, Outstanding software package',Pros
'Very comfortable to use.',Pros
'mediocre color quality',Cons
'All around quality',Pros
'Costs more than some would want to spend',Cons
EVERYTHING,Pros
'perfect prints! Fast printing',Pros
'allows a child too big to sit in a stroller a chance to have a ride.',Pros
'Average speed, low paper supply.',Cons
'2MP camera with flash, mp3 player, & 3d java games.',Pros
'might be too small for some.',Cons
'pricey with or without a contract.  side button ignores calls if pressed by accident.',Cons
'A hair expensive, even if it has great bang for the buck',Cons
'Feature-packed, easy to use, nice software suite',Pros
'Unreliable. Slow to navigate. Poor construction.',Cons
'Good battery life',Pros
'Ease of use, print quality, additional software',Pros
'Absence built-in vibrocall, high price',Cons
'top feeder',Cons
'none yet.',Cons
'Relatively inexpensive compared to other 3MP digital cameras',Pros
'speed, print quality',Pros
'great, reliable three-in-one machine, compact design',Pros
'Versatile, good improvements to quicktime movies',Pros
'Sometimes signal could be better',Cons
'Very easy to use, inexpensive, sturdy.',Pros
'Great options, built strong, pleasing look, good clarity.',Pros
'For n00biez to Digital Cameras, Expect to spend $$$ on accessories',Cons
'Small, flat, hard plastic buttons on the keypad. This phone is also expensive.',Cons
'The price of $179!',Cons
'Very smooth ride',Pros
'LARGER IN SIZE THAN MOST',Cons
'Slippery, (easy to drop), menus are slow.  Feels somewhat flimsy.',Cons
'Poor instructions.  Settings hard to understand.',Cons
'Relatively high price, considering I paid more for this camera than most of my computers, but WORTH IT!',Cons
'Nice price, easy to use, decent pictures, battery life',Pros
'Battery life is atrocious, seems like a very \'breakable\' phone.',Cons
none,Cons
'Was recommended highly by many people., Printed well in black and white and in color.',Pros
'Can\'t ring & vibrate on same settings, takes many keystrokes to operate menu.',Cons
'nice photos, software works well',Pros
'occasional problems with battery',Cons
'Worthy replacement to the 950 and 990.',Pros
'slow shutter.',Cons
'Ink cartridges can be a little hard to come by, but you can order them direct from Lexmark online.',Cons
'You can buy a better scanner for 60USD, Slow compared to a real office photocopier',Cons
'Fast, good quality full page photo printing, reads memory cards.',Pros
'As loud as my paper shredder, Dimmed the lights in my room, Slow to print',Cons
'Light, durable, and cute in a silly way.',Pros
'no USB port (only serial) for downloads',Cons
none,Cons
'Good colour, lowest price megapixel camera',Pros
'Ringer volume can only be adjusted by going into the menu; can\'t re-label phone numbers',Cons
'Radio, stylish professional looking, good reception, blue backlight, small and light',Pros
'Fast transfer to pc with USB included.',Pros
'No memory upgrade or color LCD display.',Cons
'Amazing features for the price and size, good warrantee repair service from Fuji',Pros
'Small, lightweight',Pros
'Voice dialing/command interface',Pros
'Large dimensions, design',Cons
'USB somewhat unreliable',Cons
'Battery, Ergonomics',Pros
cheap,Pros
'None.  A very good value!',Cons
'Weird Symbols Appear when the Ink Runs Low',Cons
'Great Picture Quality',Pros
'No zoom lens',Cons
'No Vibrate Only Mode, Poor reception',Cons
'Lots functions, nice price, nice look, nice size...  you get the point.',Pros
'small, lightweight, solid, fast, and versatile',Pros
'bulky, to short of battery life, confusing sometimes, bad spot for wide angle/zoom control',Cons
'Separate Ink Carts - Fast - Easy to Use',Pros
'Guzzles ink',Cons
'interface seems a little buggy',Cons
'small buttons, no belt clip',Cons
'Inexpensive, good quality text, easy to use',Pros
'small size, good software included for free with the unit',Pros
'Long battery life, size.',Pros
'Poor storage, expensive',Cons
'No analog receiver, basic phone.',Cons
'Nice looking, bells and whistles.',Pros
None,Cons
'Short battery life, flimsy antenna, prone to random malfunctions',Cons
'no web browser, not ring tone compatible, and not many features.',Cons
'A little bulky. Screen graphics geared to toward the \'youth\' market.',Cons
'Small, lightweight camera, big on features and performance.',Pros
none,Cons
'Zoom is not enough',Cons
'Can\'t turn off LEDs; Some factors can cause echoing.',Cons
'ink is expensive, sometimes screws up pages',Cons
'device is repeatedly \'unavailable\' when you need it',Cons
'Great pictures',Pros
'Phone book, small size',Pros
'auto-focusing is \'soft\', weak flash, lens visible in viewfinder',Cons
'ziess lens, B&amp;W mode, mpeg mode, style',Pros
'great versatility',Pros
'3.34 megapixels, great lens, many modes, caters to amateurs and pros, crisp LCD screen',Pros
'Can\'t be ran through a scanner',Cons
'Thin,light,great features',Pros
'Inexpensive, feature-packed phone. Excellent battery life. Light-weight.',Pros
'Small, sleek and effective.  Great battery life.',Pros
'Buckle difficult to release; basket hard to access when stroller seat is reclined',Cons
'Instant access to pictures, ease of use, editing on computer',Pros
'Olympus lens,light weight,small size, great pictures, lots of features.',Pros
Attractive/sleek,Pros
'Image Quality, Size, Memory Capability, Look &amp; Feel',Pros
'Can\'t find cartridges.  Have to use high quality paper for a good picture.',Cons
'Mediocre graphics quality, a bit noisy',Cons
'Battery life [but see review].',Cons
'side buttons, shiny phone surface loves smears, video records nothing',Cons
'No USB cable included?  C\'mon!',Cons
'A bit large to carry',Cons
'as large as any 35 mm single-lens reflex camera but lighter weight',Cons
'Different choice of covers',Pros
'cheap, reliable, easy to use',Pros
none,Cons
'Features, price, relative ease of use.',Pros
'charging problems, memory problems (lost phone #s)-frequently loses power, fragile',Cons
'Profiles, big address book, reliable',Pros
'operating system is not intuitive, quiet ringer, WEIRD keypad',Cons
'Large size, screen plastic weak.',Cons
None,Pros
'Buying accessories ...',Cons
'Ink smears,  small ink cartridges, takes up more desk space.',Cons
'the basket in the bottom of the stroller will tear if packed to much',Cons
'Color screen, long charge on battery, under-the-cover antenna.',Pros
Speakerphone,Cons
'fast printing, good print quality, good price,',Pros
'Unstable firmware, parks in tele mode',Cons
'it just as good any others out there',Pros
'Good. Light, affordable, just like the C80.',Pros
'Lack of durability of case finish',Cons
nothing,Pros
Everything,Pros
'Easy to use. Great range of settings for the flash, the resolution and the focal length. The camera itself looks pretty darn cool too.',Pros
'cartridge costs should come down',Cons
'loses user settings when powered off.',Cons
'Hard to hear out of.',Cons
'Size. Weight. Shooting speed.',Cons
'See description below',Pros
'Menu Joystick is difficult to manipulate, Buttons are too small.  Camera accessory is horrible.',Cons
'Small size, good looks, voice dialing, good clarity and volume, decent battery life.',Pros
'slow; installation breaks; expensive ink',Cons
'Trendy, Great Sound, Customizable, Great Camera Quality',Pros
'face plates for this model are hard to find.',Cons
'Good starter camera, memory expansion, quality pictures, pricing, trusted name.',Pros
'great quality, ink lasts long good price',Pros
'Small, not bulky, light-weight, slim design, phone holster is easy to use, timers helpful',Pros
'sleek and lightweight, good ring volume',Pros
'Set up instructions',Cons
'Not always recognizing voice command',Cons
'Great pix;Quality bundle;A kid could use it',Pros
'Great quality photos, very fast!,easy hookup.',Pros
'off center printing on some things',Cons
'Sturdy, roomy, easy to use.',Pros
'battery life, cost, included cables and AC Adapter, RCA video-out signal',Pros
'auto white balance is easily confused',Cons
'A breeze to set up.  I followed the directions exactly and no problems at all.',Pros
'Inexpensive, easy to upload, easy to carry around, good picture quality',Pros
'Clarity - Size - Battery Life',Pros
'On the power cord, calls drop!',Cons
'Cheap feel, terrible print trays.',Cons
'good cover, reclines all the way down, nice leg extension',Pros
'Not photo quality',Cons
'Easy To use , and Elegant black',Cons
'excellent photos, feature rich, heavy.',Pros
'For the size and price?  None.',Cons
'Not for Photo Quality, Not lightening fast',Cons
'fairly quiet, good quality text, decent quality pictures',Pros
'Cool Games, Decent Rigtones, Color Screen',Pros
'Price, Price and Price, battery life.',Cons
'Ringers, Not all buttons are shielded by flip case.',Cons
'Good camera with you at all times, great features',Pros
'NOISY paper loading; photos are dull, flat',Cons
'small footprint, saves space, relatively inexpensive.',Pros
'signal not always clear when I call people in mountain areas',Cons
'Learning curve is pretty steep.   It eats batteries for breakfast.',Cons
'Excellent black and white printouts. NO smudge. Sharp graphics. Long lasting toner.',Pros
'a little heavy &amp;amp; need 2 hands to steer',Cons
'Great value...Packed with features...Easy to use...Large lcd screen...Sharp pictures',Pros
'Quality of Pictures, and the Company\'s lack of service to this customer',Cons
'good color, quiet, print preview',Pros
'Heavy, bulky, sound quality, no color graphics to liven the phone up a little.',Cons
'Excellent quality pictures',Pros
'small, thats about it though',Pros
'Portable, durable, all metal case, good feature set',Pros
'3 colors are in one cartridge - must replace all to replace one.',Cons
'Easy to use, high image capacity',Pros
'Few software problems.',Cons
'Depletes batteries quickly.',Cons
'Undependable, slow, flimsy, inconsistently supported, supplies expensive and inconsistent in quality, supplies hard to find, not appropriate for daily use, certainly not appropriate for professional use.',Cons
'Slow photo printing.',Cons
'Powering Off!!!, Battery Life',Cons
'Solid construction. A lot of features(most I never use)',Pros
'Easy to use feature loaded.',Pros
'Small buttons and small LCD that is hard to read at times.',Cons
'Quality for the price, ease of use',Pros
'Uninspiring design, rather short navigation nub, 256 colors isn\'t enough',Cons
'Light weight, quality, knobby wheels, comfortable and easy to use',Pros
'Comes with only a 4 MB Memory Stick, No viewfinder (only a 2&amp;quot; LCD screen)',Cons
'Fast, Quality, Price',Pros
'easy to use, not too expensive',Pros
Pros,Pros
'The side keys are a bit too sensitive and it is a bit bulky.',Cons
'Great technical specifications.',Pros
'Worst print quality I\'ve seen since my dot-matrix printer, circa 1987.',Cons
'Very sexy package, great sharp text',Pros
'Holds up well to lots of kids',Pros
'tons of them',Pros
'Design, build quality, battery life, sound quality',Pros
'resolution, speed, technology',Pros
none,Cons
'Poor Phonebook design, low sounding through ear bud.',Cons
'Battery Life, Durable',Pros
'Noise, paper support',Cons
'inexpensive, lightweight, small and fairly convient',Pros
'SprintPCS Only, Bulky, Slow contact lookup, Clumsy side switch; quiet ringer',Cons
'Everything, breaks often!',Cons
'Difficult to setup, short battery life, unreliable in electronic hardware',Cons
'Great Pictures. Ease of use. Great built in bonus features (passport size photos etc..)',Pros
'Smooth ride, Comfortable for  baby,lightweight',Pros
'Ink smears and ink blots',Cons
'easy to change ink, prints clear, fast (after it\'s warmed up)',Pros
'Features, sound quality, processor speed, ease-of-use, battery life',Cons
'Some neutered features, small navigation issues, and poor external display planning.',Cons
'Digital, regular 3.5\' floppy disks, easy to use',Pros
'None. For this price range you can\'t get anything better.',Cons
'It is somewhat big and klunky.',Cons
'Hard to find',Cons
'Easy to transport, good overall quality',Pros
'Great SLR like performance and quality without all that film',Pros
'none that i can think of',Cons
'The photograph is manipulated mainly after the picture is taken, and not during.',Cons
'Small, slick looking, great screen indoors',Pros
'Size, digital viewfinder, Only comes with a 16MB memory stick.',Cons
'Picture Quality',Cons
'Really Great Looking Pictures. Good Price.',Pros
'built in camera, external color display, cool factor.',Pros
'Slow printing, one feed roller operation. Vertical envelope feed only.',Cons
'Battery EATER, USB problems, no ac adapter, Manual on CD',Cons
'Inordinate long period of time for the camera to save a picture.',Cons
'poor closeups, loose lens cap',Cons
'Works in Europe as well',Pros
'Loud, small black ink cartridge, no Centronics (parallel) connection.',Cons
'Fast, Many settings and options, picture quality and clarity.',Pros
'light, quiet, quality photo printing,  this one more like a Honda than a Jeep',Pros
'Flimsy, uncomfortable, small basket, wheels lock up',Cons
'User-friendly, easy transition between functions, super color copies',Pros
'Size, style, headset',Pros
'Small, light, long battery life, good menu system',Pros
'Brilliant color screen, small profile, highly visible backlit keys.',Pros
'Outstanding image quality, ease of use in auto mode, extensive selectivity in manual mode, uncompressed TIFF mode, three useful compressed JPEG modes, wide shutter speed range, rapid recovery allows multiple shots in a short period of time, good ergonomics',Pros
'expensive, and short battery life',Cons
'small size, large lcd, and fits in any pocket.',Pros
'THE CARTRIDGE FOR IT COST AROUND 27 TO 45 DALLARS, SEEM LIKE A LOT.',Cons
'Very small compact design, fast shutter response time, great quality photos.',Pros
'Software glitches, photos grainy.',Cons
'comes with color cartridge only, unreliable, poor tech support',Cons
'Runs through ink cartridges quickly.',Cons
'It\'s old.',Cons
'no through the lens viewing at eye piece',Cons
'Wide range of accessories, text messaging, and custom ringtones.',Pros
'Space saving printer with crisp, clear quality',Pros
'Text clarity, speed, affordability, size',Pros
'Very small when closed.  The phonebook is a little clumsy.  T9 text entry is painful.',Cons
'Light, Small, Inexpensive',Pros
'Bluetooth, speakerphone',Pros
'Somewhat expensive for 2 megapixels, only 8MB memory included and no rechargeable batteries.',Cons
'A little slow, occasional software problems and hard to figure out.',Cons
'Very simple to use, software is pretty self explanatory.',Pros
'Good, solid basic inkjet printer',Pros
'drains batteries quickly, limited alternate power supplies',Cons
free,Pros
'LCD Screen power consumption',Cons
'Dark View Finder, Shutter Lag between Pictures, Limited Storage on Stock Card',Cons
'Easy to use, fabulous picture quality, lots of features',Pros
'Easy to use,has expandable memory, good software',Pros
'dont need to turn on your PC for common tasks. excellent photo quality output',Pros
'none found',Cons
'Poor quality, mediocre reception, lack of accessories',Cons
'Bluetooth, large color screen and ample memory',Pros
'small, batt. life., gizmos......',Pros
'Can turn on in your pocket, weak flash',Cons
'Inaccurate viewfinder, \'dark\' photos, image distortion/vignetting at wide angle, silly panorama mode, unreliable card',Cons
'slightly oversized for its price,',Cons
'Too small, keyboard too small, buttons too small, phone doesn\'t reach mouth and ear.',Cons
'Perfect pictures, easy to use',Pros
'Software sucks',Cons
'image quality bad during low as well as too much light',Cons
'Too much money',Cons
'less-than-perfect reception, larger size/weight than many phones',Cons
'Subject must be absolutely still.  No flash.',Cons
'Small, lightweight, digital',Pros
'6 cartridges, high quality color printing,',Pros
'Direct Connect, very durable, battery life',Pros
'Color screen, features(does nearly everything), durability.',Pros
'Six Color Ink, New Sleek Design,  Borderless printing.  Works with OSX.',Pros
'Decent picture quality',Pros
'Reliable, compact, inexpensive',Pros
'Expensive consumables (total up to around $175/year).',Cons
'Battery life; voice clarity; volume',Pros
'Battery life isn\'t as advertised',Cons
'Lightweight, features, looks',Pros
'Extremely sharp pictures, Zeiss lens, USB support, good size, huge storage capacity, advanced exposure modes, excellent menu system, good user control, pretty good software,',Pros
'Low price; fast print speeds; excellent text print quality.',Pros
none,Cons
'Slow, ungreat print quality, &lt;b&gt;printer cable not included&lt;/b&gt;.',Cons
none,Cons
'Paper feed, noise, printer driver',Cons
'Decent reception and battery life. Durable.',Pros
'digital zoom is worthless (surprise!)',Cons
'Problems are soon to come.',Cons
'Sleek, Small, Color, Light, Polyphonic Rings, Games',Pros
'Weight, hand grip could be rubberized',Cons
'Small, Great battery life, Clear reception, Easy 1-touch dialing, Outside Caller ID display',Pros
'Easy to use, good resolution, large memory',Pros
'Great quality for the money',Pros
'dim back-light',Cons
'No speakerphone (not too many flips have it), illogical icon menus, poor manual.',Cons
'Hello Hewlett Packard',Pros
'Glass LCD screen (but most Palms seem to have that)',Cons
'Numerous settings can be confusing to the casual user.',Cons
'They use UPS for shipping.',Cons
'Paper Jam, high defective rate',Cons
'Poor resolution, only stores 15 photos, EATS BATTERIES',Cons
'Ink saving features are a great addition; FABULOUS Customer Service; Very Competitive Prices!',Pros
'Reasonably priced, great quality and sound.',Pros
'it\'s more than a bubblejet, but wait till you see the quality!',Cons
'Good digital camera for the price paid.',Pros
'Picks up background noise, locks up, reception in fringe areas (with original firmware)',Cons
'slow speed, paper jams',Cons
'size, not a lot of \'latest\' features',Cons
'Versatile and reliable communication with good audio',Pros
'Lens slow. Body chintzy. Display not jointed. Settings reset. No top readout.',Cons
'I is slim and has good LCD screen.',Cons
'Infra-red technology sometimes does not work the first try',Cons
Everything,Cons
'You have a good chance of getting a dud phone (see review)',Cons
None,Cons
none,Cons
'Basic styling is nice-looking and great feeling, and it\'s got a color screen!',Pros
'Many great deals for this phone',Pros
Pricey,Cons
'Solid, sturdy. Non-color screen is visible in bright daylight, color screens aren\'t!',Pros
'GPRS;WAP;iTAP;500#phonebook&PIM;Battery&#13;&#10;Exceptional voice and very easy menu',Pros
'long lasting battery,very clear,works in most areas,small and compact',Pros
'Easy to use.  Download to any pc without wires.  No software to install.',Pros
'sleek design, features',Pros
'Powerful storage of short messages, interesting games, smart clock alarm, excellent battery',Pros
'slow color print speeds',Cons
'Simple to install and use, Almost excellent print quality, Fair Price',Pros
'no cons',Cons
'This things flies!  Flawless text!',Pros
'Short Battery Life, Bad sound quality',Cons
'Better than the V710 but still not perfrect.',Pros
'Small, Easy to use, takes great pictures!  Battery charging is easy',Pros
'large screen, battery life, sliding cover, calendar, calculator. curved shape fits your hip.',Pros
'Large, beautiful & colorful LCD. Large external LCD.',Pros
'$50 Rebate, Good Quality, Fast, True Color, Accurate, Came With 3 Software Titles',Pros
'Bad quality in LCD screen,',Cons
'Cheap, Actually takes pictures.',Pros
'Several fatal flaws; SIZE, Battery longevity, record quality, recording length(1 min max), unintuitive OS, keypad-blech!',Cons
'Short-lived images',Cons
'SLOW shutter speed and no zoom.',Cons
Cheap,Pros
'Splendid pictures with great detail and superb color.',Pros
'None that I\'m aware of! This camera\'s great!',Cons
'High Quality color printing',Pros
'reliable, quality',Pros
'Compact size, fits easily in the pocket and loud ring.',Pros
'Lightweight, small, over 5 days of battery life.',Pros
'None that I\'ve noticed, but being so thin it must be fragile',Cons
'cheap, good vivid color, great for the price!',Pros
'Underfeatured, non-standard batteries',Cons
'slow, expensive cartridges, color printing does not match colors on screen, faulty software',Cons
'WOW!!! This does everything and WELL. I freed up about 3 sq.ft. of counter space.',Pros
'SERVICE, SERVICE, SERVICE!',Cons
'fairly easy to use',Pros
'no parent tray',Cons
'Soul Stealing side effect not listed in warnings',Cons
'Jamming the floppy in backwards can harm the drive. (duh!)',Cons
'Easy to read LCD screen&#13;&#10;Programming is a snap',Pros
'Low price for the printer and ink tanks, small size, print speed and quality',Pros
'Does not have caller groups where you can separate callers with different ring tones.',Cons
'read above',Pros
'Auto-Feeder from hell, Support from hell, Drivers from hell, Prints on the inside of itself, rebates from hell, price still not worth it',Cons
'Long battery life, fun features like changeable faceplates and multiple ring choices,  easy to use.',Pros
'runs out of ink fast, takes a long time to warm up',Cons
'Hassle getting into and out of trunk',Cons
'Very quiet',Pros
'Very simple to use. Photos turn out very clear.',Pros
'USB transfer, price, picture quality',Pros
'No view finder. Will the moveable screen stand the test of time.',Cons
'Sony picture quality, Cool filters, Movie feature',Pros
'The hinge brakes after 6 months of moderate use. Obviously, there\'s a design flaw.',Cons
'sound quality, ringer volume, color screen, durability',Pros
'none i have found',Cons
'poor phonebook design',Cons
'Can\'t hold the camera sideways when shooting movies, No zoom in MPEG mode',Cons
'The Stylus C80 prints very fast colors do not run together the prints dry quickly',Pros
'great price for home users. excellent quality',Pros
'Screen, Apps, Ease of Use',Pros
'Had to replace once, nothing else. This phone is excellent.',Cons
'USB, megapixel, mass storage, LCD preview',Pros
'Disappointing memory and screen size',Cons
'World phone / Bluetooth / large phone book / data (WAP). Iconic Design!',Pros
'Good quality print jobs.',Pros
'2 ink cartridge system, Cost of the Ink',Cons
'Amazing Quality, Good Speed, And Quiet',Pros
'Poor sound quality, bulky belt clip',Cons
'cost of cartridges if you use Canon over generic,',Cons
'prints fairly fast, cartridges easily changed',Pros
'Cartridges are tricky to install, NOT good for high volume',Cons
'didn\'t keep it long enough to find out',Cons
'small size',Pros
'High Resolution, compact, affordable',Pros
'great for preschoolers',Pros
'user friendly, use of compact flash cards and AA size batteries',Pros
none,Cons
'Great size and lightweight; durable phone!',Pros
'Good quality text and images, reasonably quick for an inkjet',Pros
many!,Cons
'Great phone with superior battery life',Pros
'compact, durable, excellent sound quality, good storage capability, large font screen for visibility',Pros
'Pricey, still bulky, poor picture quality, etc.',Cons
'Great camera for the price and size!',Pros
'Good looking phone, bluetooth, tons of features',Pros
'easy to use, good quality',Pros
'Not many to speak of',Cons
'Uses up batteries power very quickly, doesn\'t always take clear pictures',Cons
'Good voice dial option, light weight, it was free',Pros
'Amazing picture quality, very easy to use',Pros
'expensive consumables',Cons
'good design/menus/buttons',Pros
'Comes with scanner, copier, fax and printer',Pros
'weight, form factor, backlight',Cons
'Ease of use, image quality, compact convenient design',Pros
'Drawbacks listed in review',Cons
'Great reception.  Easy to use features.  Great size.',Pros
'very light weight',Pros
'USB connection often fails, software is a memory hog.',Cons
'Small & compact, packed with features, ability to change covers',Pros
'NO SUPPORT..',Cons
'Games,design,NO ANTENNA!,color screen',Pros
'Too much file compression,Poor motion capture capabilities',Cons
'you will miss calls, phone is almost too small',Cons
'rechargeable battery, zoom lens',Pros
'Lightweight, easy to use, durable.',Pros
'Substandard image quality, confusing software',Cons
'Small memory card and poor zoom mode',Cons
'None that I can think of.',Cons
'flimsy case, too many problems',Cons
'polyphonic sounds, size',Pros
'Reception, Battert Life, Styling, Voice Activation, Low Radiation',Pros
'Reasonable price, lots of manual options, Olympus quality.',Pros
'Awful battery life, nextel reception, no notes',Cons
'Size, battery life, reception, useful extras.',Pros
'low light focus, red-eye, non-standard battery',Cons
'Antenna Close to Head, Some Problems with Call Quality',Cons
Inexpensive,Pros
'easy to place camera memory card directly into printer to print proof sheet',Pros
'Expensive ink and slow',Cons
'quiet speaker in large crowds, hinge is kind of cheap (quality wise), not many features',Cons
'USB download, many great features, easy to operate, fun',Pros
'Inoperable in Cold Weather',Cons
'no hassle rebate - good web site - quality printer',Pros
'Both seats recline, easy to use',Pros
'EATS batteries.',Cons
'None yet',Cons
'Is quite large, and lacking bluetooth',Cons
'Great quality, good price, nice software, AA batteries',Pros
'As with all inkjets, expensive cartridges.  It is loud',Cons
'VERY Poor Signal Strength, Cost',Cons
'Somewhat bulky by today\'s standards; small phone book',Cons
'Great cheap camera',Pros
'Great Price, Great Design, Durable, Small',Pros
'Superior pictures',Pros
'Not good for printing envelopes',Cons
'slow download time',Cons
'Poly Ringtone Volume, Difficult Menus',Cons
'should have actual Talk/End buttons instead of the \'softkey\', hard to change batteries',Cons
'Large size, flimsy looking covers, proprietry music format.',Cons
'Confusing Menus, Not As Feature Rich As Other Models, Not Very User Friendly',Cons
'Cheap, basic PDA features',Pros
'Poor quality, poor microphone',Cons
'easy to use,best value',Pros
'Easy to use, USB capable',Pros
'Good Quality, Price, Features and Ease of Use',Pros
'Price, Ease of Use, Power Cord While Uploading Photos, Timer',Pros
'Hard to find, install and software has some issues.',Cons
'Scans, Copies, Faxes AND Prints! It\'s an HP!! Sleek',Pros
'Subpar in ALL phases',Cons
'Good menu selection and features',Pros
'very durable, extremely clear',Pros
'web enabled, easy to use, fast recharges',Pros
'2 way walkie',Pros
'Duplexing issues. Slow PostScript printing.',Cons
'Color screen, small size, phone book',Pros
'Good quality printing, fast, and efficient',Pros
'If anything, battery life',Cons
NONE!,Cons
'Ease of operation; in all phases, great pictures',Pros
'Battery life seems to vary between good and merely adequate.',Cons
'Fast, high quality, good toner life, great tech support, Windows/Mac compatible',Pros
'No optical zoom, no USB support for Windows 95, large investment for a first camera',Cons
'storage is limited to 1.44mb',Cons
'Great pictures, a lot of features, compact, good built in screen',Pros
'hard on batteries, slow recovery time, limited manual mode.',Cons
'see above!',Cons
'Not so great for everyone else.',Cons
'using the flash, price, quality of low-res pictures',Cons
'Cost,',Pros
'The Nokia 8210 phone\'s calendar function can remind you of upcoming meetings, birthdays,and so on.',Pros
'analog technology only, length of life',Cons
'Poor keypad made daily use it\'s demise',Cons
'Picture quality, picture quality',Cons
'A bit big and a bit heavy, power feedback is bad',Cons
'is not a good product',Cons
'Amazing quality',Pros
'Small and compact, the proof is in the pictures',Pros
'low price, durable quality',Pros
'Easy to use, image quality',Pros
'Lightweight, easy to use, great picture quality',Pros
'Good price, prints fast',Pros
'bad at printing graphics, broke after 3 months',Cons
'Highly recommended',Pros
